"IDCAL";"FOODNAME";"CALORIE";"PROTEIN";"FATS";"CARBHDRT";"CALCIUM";"PHOSPHOR";"IRON";"VITA";"VITB1";"VITC";"amount";"FWEIGHT";"added";"ISACTIVE"
203;"Tempe kedele murni";149.0;18.3;4.0;12.7;129.0;154.0;10.0;50.0;0.17;0.0;100.0;100;"admin";1
204;"Tempe koro benguk";141.0;10.2;1.3;23.2;42.0;15.0;3.0;0.0;0.09;0.0;100.0;100;"admin";1
205;"Tempe lamtoro";142.0;11.0;2.5;20.4;42.0;15.0;3.0;30.0;0.19;0.0;100.0;100;"admin";1
206;"Tepung hunkwee (pati kac. ijo)";364.0;4.5;1.0;83.5;50.0;100.0;1.0;0.0;0.0;0.0;100.0;100;"admin";1
207;"Tepung kacang kedele";347.0;35.9;20.6;29.9;195.0;554.0;8.0;140.0;0.77;0.0;100.0;100;"admin";1
208;"Angsa";354.0;16.4;31.5;0.0;15.0;188.0;2.0;900.0;0.1;0.0;60.0;100;"admin";0
209;"Ayam";302.0;18.2;25.0;0.0;14.0;200.0;2.0;810.0;0.08;0.0;58.0;100;"admin";1
210;"Babat";113.0;17.6;4.2;0.0;12.0;144.0;1.0;0.0;0.15;0.0;100.0;100;"admin";1
211;"Bebek ( itik )";326.0;16.0;28.6;0.0;15.0;188.0;2.0;900.0;0.1;0.0;60.0;100;"admin";1
212;"Daging anak sapi";190.0;19.1;12.0;0.0;11.0;193.0;3.0;40.0;0.14;0.0;100.0;100;"admin";1
213;"Daging babi gemuk";457.0;11.9;45.0;0.0;7.0;117.0;2.0;0.0;0.58;0.0;100.0;100;"admin";1
214;"Daging babi kurus";376.0;14.1;35.0;0.0;8.0;151.0;2.0;0.0;0.67;0.0;100.0;100;"admin";1
215;"Daging domba";206.0;17.1;14.8;0.0;10.0;191.0;3.0;0.0;0.15;0.0;100.0;100;"admin";1
216;"Daging kambing";154.0;16.6;9.2;0.0;11.0;124.0;1.0;0.0;0.09;0.0;100.0;100;"admin";1
